season,team,new_offensive_coordinator,offensive_coordinator_name,new_defensive_coordinator,defensive_coordinator_name
2026,ARI,True,Nathaniel Hackett,False,
2026,ATL,True,Tommy Rees,False,
2026,BAL,True,Declan Doyle,False,
2026,BUF,True,Pete Carmichael Jr.,False,
2026,CAR,False,Brad Idzik,False,
2026,CHI,True,Press Taylor,False,
2026,CIN,False,Dan Pitcher,False,
2026,CLE,True,Travis Switzer,False,
2026,DAL,False,Klayton Adams,False,
2026,DEN,True,Davis Webb,False,
2026,DET,True,Drew Petzing,False,
2026,GB,False,Adam Stenavich,False,
2026,HOU,True,Nick Caley,False,
2026,IND,False,Jim Bob Cooter,False,
2026,JAX,False,Grant Udinski,False,
2026,KC,True,Eric Bieniemy,False,
2026,LAC,True,Mike McDaniel,False,
2026,LAR,True,Nate Scheelhaase,False,
2026,LV,True,Andrew Janocko,False,
2026,MIA,True,Bobby Slowik,False,
2026,MIN,False,Wes Phillips,False,
2026,NE,False,Josh McDaniels,False,
2026,NO,False,Doug Nussmeier,False,
2026,NYG,True,Matt Nagy,False,
2026,NYJ,True,Frank Reich,False,
2026,PHI,True,Sean Mannion,False,
2026,PIT,True,Brian Angelichio,False,
2026,SEA,True,Brian Fleury,False,
2026,SF,False,Klay Kubiak,False,
2026,TB,True,Zac Robinson,False,
2026,TEN,True,Brian Daboll,False,
2026,WAS,True,David Blough,False,
